Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
843,2021/11/22,392.00,3.43,398.00,372.00,386.00,"13,493","5,273,741.30"
844,2021/11/21,379.00,-1.81,393.70,378.80,386.00,"4,800","1,832,293.00"
845,2021/11/18,386.00,-2.77,400.00,379.00,390.00,"11,591","4,488,632.00"
846,2021/11/17,397.00,0,420.00,396.00,400.00,"15,667","6,350,582.00"
847,2021/11/16,397.00,8.17,397.70,368.00,374.00,"7,780","2,953,455.50"
848,2021/11/15,367.00,7.56,369.10,348.00,348.00,"5,336","1,940,191.00"
849,2021/11/14,341.20,-2.23,357.00,341.00,350.00,"6,147","2,141,189.90"
850,2021/11/11,349.00,-2.79,358.00,343.00,351.90,"5,853","2,046,321.00"
851,2021/11/09,359.00,-6.51,384.00,357.70,384.00,"13,158","4,775,270.80"
852,2021/11/08,384.00,-1.03,395.00,373.40,381.00,"9,020","3,452,717.40"
853,2021/11/03,388.00,-2.49,410.00,388.00,400.00,"8,877","3,508,107.80"
854,2021/11/02,397.90,1.97,398.00,377.20,382.40,"9,725","3,806,821.90"
855,2021/11/01,390.20,-5.06,419.00,390.00,411.00,"15,092","6,091,708.00"
856,2021/10/31,411.00,5.36,420.00,380.00,392.00,"15,512","6,287,663.00"
857,2021/10/28,390.10,6.01,397.00,348.00,361.00,"16,152","6,010,256.30"
858,2021/10/27,368.00,1.38,380.00,355.00,370.00,"20,375","7,536,986.10"
859,2021/10/26,363.00,10,363.00,336.00,336.60,"17,288","6,139,471.00"
860,2021/10/25,330.00,8.27,335.20,310.00,310.00,"10,872","3,504,722.00"
861,2021/10/24,304.80,1.23,310.90,293.00,305.00,"4,617","1,391,268.40"
862,2021/10/21,301.10,-3.46,324.30,296.90,318.00,"4,519","1,376,770.90"
863,2021/10/20,311.90,6.09,315.00,294.00,299.00,"4,519","1,386,038.30"
864,2021/10/19,294.00,-5.31,306.00,290.10,304.30,"5,071","1,503,512.50"
865,2021/10/18,310.50,-10,351.90,310.50,351.90,"9,813","3,080,454.90"
866,2021/10/17,345.00,4.86,355.90,326.90,335.50,"2,150","726,270.00"
867,2021/10/11,329.00,-3.8,348.80,317.00,348.80,"4,019","1,318,110.50"
868,2021/10/10,342.00,-0.87,358.00,330.00,351.90,"3,339","1,137,919.00"
869,2021/10/06,345.00,0.44,350.30,334.00,350.30,"12,267","4,180,547.80"
870,2021/10/05,343.50,0.17,350.00,339.00,349.70,"5,199","1,773,172.50"
871,2021/10/04,342.90,-0.61,351.90,320.10,351.90,"6,624","2,187,675.70"
872,2021/10/03,345.00,-4.43,353.80,326.60,353.80,"6,090","2,057,549.30"
873,2021/09/30,361.00,-1.88,382.00,355.00,375.20,"5,798","2,092,955.00"
874,2021/09/29,367.90,8.21,367.90,327.00,346.80,"11,910","4,099,476.00"
875,2021/09/28,340.00,-8.85,381.00,339.00,380.40,"15,419","5,457,168.00"
876,2021/09/27,373.00,-5.09,401.00,373.00,395.00,"11,519","4,479,258.50"
877,2021/09/26,393.00,-7.96,418.50,385.00,418.50,"16,108","6,416,020.70"
878,2021/09/23,427.00,1.47,445.00,404.00,429.00,"16,586","6,897,494.00"
879,2021/09/22,420.80,8.87,424.00,391.00,394.00,"12,487","5,161,619.60"
880,2021/09/21,386.50,2.49,392.00,341.10,375.00,"18,707","6,918,976.50"
881,2021/09/20,377.10,-10,411.00,377.10,411.00,"17,454","6,747,554.00"
882,2021/09/16,419.00,-4.77,448.80,404.00,448.80,"14,169","5,907,018.40"
883,2021/09/15,440.00,-2.46,460.10,433.00,460.10,"9,587","4,253,547.50"
884,2021/09/14,451.10,-1.91,469.00,448.00,469.00,"13,597","6,154,331.90"
885,2021/09/13,459.90,-0.02,490.00,449.00,465.00,"18,382","8,618,191.70"
886,2021/09/12,460.00,5.02,465.00,445.00,446.00,"22,542","10,294,155.80"
887,2021/09/09,438.00,2.58,453.00,420.00,435.00,"14,655","6,440,250.00"
888,2021/09/08,427.00,-2.18,445.00,419.00,428.00,"15,907","6,835,614.20"
889,2021/09/07,436.50,0.72,460.00,433.40,442.00,"11,229","5,023,315.90"
890,2021/09/06,433.40,10,433.40,380.00,387.00,"16,650","6,923,828.20"
891,2021/09/05,394.00,-9.84,434.00,393.30,434.00,"27,581","10,964,010.60"
892,2021/09/02,437.00,-3.53,458.00,434.20,444.00,"11,864","5,225,752.50"
893,2021/09/01,453.00,2.26,469.20,434.20,434.20,"15,775","7,138,787.50"
894,2021/08/31,443.00,-5.94,475.00,442.00,462.00,"23,582","10,574,801.40"
895,2021/08/29,471.00,3.43,497.00,460.00,464.50,"36,686","17,356,549.60"
896,2021/08/26,455.40,10,455.40,415.00,415.00,"23,649","10,597,360.70"
897,2021/08/25,414.00,-3.16,436.00,384.80,419.00,"27,996","11,405,531.00"
898,2021/08/24,427.50,-10,465.50,427.50,465.50,"43,544","18,701,010.90"
899,2021/08/19,475.00,-6.68,500.00,473.00,499.00,"23,974","11,649,231.50"
900,2021/08/18,509.00,-2.3,555.90,506.00,511.00,"52,904","27,899,320.70"
901,2021/08/17,521.00,6.33,535.00,490.00,499.80,"74,632","38,479,707.70"
902,2021/08/16,490.00,3.16,503.80,450.00,483.00,"29,759","14,039,076.40"
903,2021/08/15,475.00,-3.06,489.80,449.00,480.30,"32,938","15,334,744.00"
904,2021/08/12,490.00,-2.39,512.00,477.30,502.00,"47,241","23,060,050.60"
905,2021/08/11,502.00,5.68,510.00,470.00,470.00,"60,202","29,856,789.00"
906,2021/08/10,475.00,-4.02,525.00,472.00,506.00,"62,655","30,638,884.40"
907,2021/08/09,497.00,0.2,516.00,489.20,490.00,"59,524","29,788,057.50"
908,2021/08/08,496.00,1.64,520.00,457.00,488.00,"92,091","45,135,198.60"
909,2021/08/05,488.00,-5.02,551.00,487.00,524.00,"58,061","29,499,062.90"
910,2021/08/04,513.80,10,513.80,465.00,476.40,"97,618","48,104,343.50"
911,2021/08/03,467.10,9.98,467.10,424.70,433.10,"150,098","68,137,152.80"
912,2021/08/02,424.70,10,424.70,393.80,393.80,"48,031","20,354,297.20"
913,2021/08/01,386.10,10,386.10,345.00,358.00,"94,622","35,603,878.40"
914,2021/07/29,351.00,-2.77,366.00,338.00,366.00,"34,008","11,967,285.40"
915,2021/07/28,361.00,-3.19,395.00,355.00,380.00,"72,454","26,659,347.20"
916,2021/07/27,372.90,10,372.90,330.00,339.00,"68,424","24,422,972.30"
917,2021/07/26,339.00,2.73,339.90,324.00,336.60,"37,566","12,573,049.20"
918,2021/07/25,330.00,6.11,330.00,314.00,317.20,"58,307","18,875,818.90"
919,2021/07/22,311.00,0.97,311.00,302.10,308.00,"16,301","5,024,499.00"
920,2021/07/20,308.00,2.56,310.00,299.00,299.00,"9,023","2,757,676.50"
921,2021/07/19,300.30,-2.5,310.00,300.00,308.10,"16,234","4,933,594.00"
922,2021/07/18,308.00,0.98,320.00,305.00,311.00,"13,295","4,130,374.80"
923,2021/07/15,305.00,3.74,322.00,295.00,299.00,"35,707","11,021,110.00"
924,2021/07/14,294.00,-1.67,301.00,290.00,295.00,"7,914","2,338,072.00"
925,2021/07/13,299.00,0,310.00,291.00,310.00,"3,509","1,039,854.00"
926,2021/07/12,299.00,-0.33,306.00,285.00,294.00,"22,147","6,449,962.00"
927,2021/07/11,300.00,7.14,300.00,275.00,285.00,"17,358","5,034,525.00"
928,2021/07/08,280.00,5.66,285.00,260.00,265.00,"7,562","2,035,038.00"
929,2021/07/07,265.00,-3.28,272.00,262.00,272.00,"5,690","1,512,015.00"
930,2021/07/06,274.00,-0.36,288.00,268.00,288.00,"5,035","1,366,365.00"
931,2021/07/05,275.00,-3.17,283.00,275.00,280.00,"4,306","1,202,024.00"
932,2021/07/04,284.00,-2.41,290.00,279.00,287.00,"6,082","1,737,240.00"
933,2021/07/01,291.00,-0.34,302.00,290.00,296.00,"4,503","1,323,437.00"
934,2021/06/30,292.00,4.66,306.00,261.00,276.00,"12,276","3,339,042.00"
