Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
242,2024/06/11,320.00,6.6,325.00,303.00,306.20,"124,025","39,638,506.80"
243,2024/06/10,300.20,0.03,310.90,297.20,298.00,"30,719","9,306,926.60"
244,2024/06/09,300.10,-0.27,306.00,299.00,300.00,"22,531","6,780,493.80"
245,2024/06/06,300.90,-1.54,309.40,297.00,301.00,"28,707","8,631,082.00"
246,2024/06/05,305.60,-1.42,313.00,302.00,313.00,"24,910","7,571,306.70"
247,2024/06/04,310.00,0.98,313.10,306.90,313.10,"32,981","10,203,195.30"
248,2024/06/03,307.00,0.66,314.80,300.00,300.00,"54,088","16,702,457.20"
249,2024/06/02,305.00,3.39,305.00,290.10,290.10,"28,670","8,607,981.40"
250,2024/05/30,295.00,1.03,300.00,287.00,287.00,"27,310","8,105,545.20"
251,2024/05/29,292.00,1,298.80,289.00,293.00,"18,380","5,399,599.40"
252,2024/05/27,289.10,-0.34,295.90,286.30,290.00,"8,078","2,349,650.60"
253,2024/05/26,290.10,-3.3,300.00,290.10,300.00,"14,137","4,166,102.60"
254,2024/05/22,300.00,-2.28,307.00,297.40,307.00,"19,067","5,736,589.70"
255,2024/05/21,307.00,4.42,308.00,293.10,298.00,"31,008","9,412,441.50"
256,2024/05/20,294.00,1.03,304.80,291.40,293.00,"30,525","9,078,539.60"
257,2024/05/19,291.00,1.29,299.80,285.30,293.00,"11,101","3,221,265.30"
258,2024/05/16,287.30,-1.78,295.00,287.00,287.00,"12,161","3,520,851.00"
259,2024/05/15,292.50,-1.85,303.00,292.10,292.10,"13,980","4,121,291.50"
260,2024/05/14,298.00,3.83,299.00,284.00,284.00,"26,791","7,909,467.90"
261,2024/05/13,287.00,0.99,295.00,280.00,280.00,"13,268","3,808,289.80"
262,2024/05/12,284.20,-0.25,293.50,280.10,280.30,"10,642","3,036,675.50"
263,2024/05/09,284.90,1.03,285.00,278.10,278.10,"9,664","2,733,931.00"
264,2024/05/08,282.00,0.86,307.00,275.10,275.10,"4,972","1,404,238.50"
265,2024/05/07,279.60,-2.88,290.00,279.00,283.00,"21,936","6,206,774.30"
266,2024/05/06,287.90,-0.07,292.70,284.00,289.10,"15,119","4,347,356.80"
267,2024/05/05,288.10,-2.34,296.00,288.10,290.30,"16,867","4,908,878.10"
268,2024/05/02,295.00,-0.67,302.90,294.00,294.00,"16,225","4,816,149.50"
269,2024/04/30,297.00,1.19,306.50,290.00,298.00,"23,134","6,865,359.80"
270,2024/04/29,293.50,0.79,299.00,290.00,290.00,"8,445","2,488,086.00"
271,2024/04/28,291.20,-1.32,298.00,290.00,290.00,"14,951","4,394,235.30"
272,2024/04/25,295.10,-1.3,301.00,294.30,295.00,"12,226","3,616,952.60"
273,2024/04/24,299.00,0,304.90,294.10,294.30,"24,462","7,267,152.00"
274,2024/04/22,299.00,0,308.70,296.00,296.00,"24,306","7,336,969.80"
275,2024/04/21,299.00,1.7,303.00,289.30,289.30,"22,310","6,647,564.80"
276,2024/04/18,294.00,-2.68,309.90,293.90,309.90,"23,715","7,046,076.00"
277,2024/04/16,302.10,-1.92,310.00,302.10,302.30,"18,211","5,564,850.40"
278,2024/04/15,308.00,-1.6,315.00,307.90,308.50,"25,053","7,789,060.60"
279,2024/04/14,313.00,0.32,319.20,307.50,310.10,"15,675","4,925,728.20"
280,2024/04/10,312.00,-0.64,318.00,310.00,312.00,"29,704","9,310,240.60"
281,2024/04/09,314.00,1.29,321.00,310.00,310.20,"28,257","8,854,849.00"
282,2024/04/07,310.00,0.81,313.00,304.00,304.00,"22,077","6,842,561.20"
283,2024/04/04,307.50,-2.01,315.00,307.50,309.10,"24,588","7,641,308.40"
284,2024/04/03,313.80,-0.7,321.00,310.00,314.50,"27,432","8,622,420.50"
285,2024/04/02,316.00,-0.57,324.00,316.00,322.50,"18,139","5,782,339.70"
286,2024/04/01,317.80,-0.06,324.00,316.00,317.00,"32,263","10,299,953.40"
287,2024/03/31,318.00,-1.85,330.00,318.00,320.20,"57,988","18,719,568.50"
288,2024/03/28,324.00,-2.09,344.00,323.40,324.30,"61,269","20,239,818.50"
289,2024/03/27,330.90,0.58,348.90,322.50,322.50,"148,298","49,720,922.50"
290,2024/03/26,329.00,1.61,340.90,318.00,319.10,"96,081","31,970,166.00"
291,2024/03/25,323.80,-3.92,335.00,319.00,332.10,"34,387","11,124,297.10"
292,2024/03/21,337.00,0.6,350.00,324.00,328.30,"169,521","56,245,079.00"
293,2024/03/20,335.00,2.76,338.00,320.30,322.00,"127,971","42,372,503.60"
294,2024/03/19,326.00,-6.91,343.20,324.00,343.20,"144,620","47,558,456.00"
295,2024/03/18,350.20,9.99,350.20,315.50,315.50,"37,842","12,294,205.60"
296,2024/03/17,318.40,-1.18,328.00,316.00,320.00,"18,210","5,800,230.40"
297,2024/03/14,322.20,-3.24,336.00,321.10,327.10,"37,573","12,313,908.60"
298,2024/03/13,333.00,1.83,337.70,324.50,327.00,"49,181","16,289,834.10"
299,2024/03/12,327.00,0.46,338.50,325.00,325.00,"57,993","19,135,491.90"
300,2024/03/10,325.50,-6.95,356.70,325.50,356.70,"81,572","26,971,830.00"
301,2024/03/07,349.80,10,349.80,318.50,324.30,"70,585","23,048,020.70"
302,2024/03/06,318.00,2.25,321.90,305.60,311.00,"45,813","14,419,030.00"
303,2024/03/05,311.00,-2.81,323.00,307.00,320.00,"51,229","16,112,476.50"
304,2024/03/04,320.00,8.47,323.90,300.90,300.90,"6,225","1,987,991.50"
305,2024/03/03,295.00,-1.01,303.90,291.20,294.00,"35,095","10,391,495.70"
306,2024/02/29,298.00,-5.4,316.00,298.00,315.00,"53,193","16,233,714.30"
307,2024/02/28,315.00,-1.59,325.00,315.00,325.00,"23,455","7,465,187.20"
308,2024/02/27,320.10,-1.2,345.80,319.00,326.00,"19,919","6,466,488.60"
309,2024/02/26,324.00,2.5,328.90,316.00,316.00,"42,957","13,826,558.80"
310,2024/02/25,316.10,-3.1,330.00,316.00,320.00,"63,698","20,582,127.80"
311,2024/02/22,326.20,-6.26,342.00,323.40,341.10,"95,869","31,882,238.60"
312,2024/02/21,348.00,-7.84,370.10,340.00,370.10,"172,273","60,904,501.00"
313,2024/02/20,377.60,7.92,377.60,334.00,344.00,"133,943","46,668,085.10"
314,2024/02/18,349.90,0.55,369.10,332.00,343.10,"112,429","38,381,044.50"
315,2024/02/15,348.00,-2.38,369.90,345.00,357.00,"195,335","69,774,575.30"
316,2024/02/14,356.50,5.16,360.00,333.30,335.00,"260,877","91,146,434.40"
317,2024/02/13,339.00,3.04,343.90,322.00,323.00,"135,278","45,294,787.00"
318,2024/02/12,329.00,2.02,332.00,318.30,320.20,"43,380","14,154,055.50"
319,2024/02/11,322.50,-2.57,338.00,322.00,331.00,"55,104","18,106,759.50"
320,2024/02/08,331.00,2.07,338.60,320.00,321.00,"70,858","23,427,849.00"
321,2024/02/07,324.30,0.15,345.00,320.20,323.00,"28,031","9,123,734.50"
322,2024/02/06,323.80,2.47,327.00,317.00,317.00,"25,100","8,077,704.60"
323,2024/02/05,316.00,-0.6,325.00,315.50,320.00,"31,357","9,980,410.00"
324,2024/02/04,317.90,-1.88,327.70,317.00,320.00,"41,965","13,479,939.10"
325,2024/02/01,324.00,-5.84,350.90,324.00,350.90,"67,370","22,347,126.00"
326,2024/01/31,344.10,4.91,357.00,330.00,333.00,"199,276","67,237,196.60"
327,2024/01/30,328.00,0.77,334.50,322.10,322.20,"55,364","18,242,612.70"
328,2024/01/29,325.50,0.81,332.50,320.00,320.00,"42,105","13,741,851.10"
329,2024/01/28,322.90,1.86,326.40,317.00,318.00,"41,853","13,529,395.50"
330,2024/01/25,317.00,-0.94,323.50,316.00,316.00,"27,788","8,860,299.40"
331,2024/01/24,320.00,0.85,331.10,317.50,323.60,"59,600","19,362,080.80"
332,2024/01/23,320.00,-0.31,328.00,316.70,321.00,"59,309","19,197,196.70"
333,2024/01/22,321.00,-0.96,333.50,319.00,325.00,"67,784","22,224,285.70"
334,2024/01/21,324.10,1.92,346.00,317.00,317.00,"111,719","36,987,361.40"
335,2024/01/18,318.00,-0.31,328.00,312.70,312.70,"89,948","28,802,679.60"
336,2024/01/17,319.00,-6.73,341.10,315.10,338.00,"92,922","30,612,215.40"
337,2024/01/16,342.00,0.62,348.50,330.00,335.00,"92,824","31,609,710.20"
338,2024/01/14,339.90,4.58,350.00,326.00,330.00,"74,807","25,127,465.10"
339,2024/01/11,325.00,3.17,330.00,315.00,315.00,"70,422","22,706,052.40"
340,2024/01/10,315.00,-1.56,327.00,311.00,316.00,"53,593","16,986,946.90"
341,2024/01/09,320.00,-4.48,341.70,319.00,328.30,"100,603","33,294,740.60"
